bhf,location,land
Stadt Rottenmann,no-data,BY
Stadtallendorf,Stadtallendorf,HE
Stadtroda,Stadtroda,TH
Stainach-Irdning,no-data,BY
Steinach(b Rothenburg ob der Tauber),Gallmersgarten,BY
Stendal,Stendal,ST
Stralsund Hbf,Stralsund,MV
Strasbourg,no-data,BY
Straubing,Straubing,BY
Stuttgart Hbf,Stuttgart,BW
Sulz(Neckar),Sulz+am+Neckar,BW
Telfs-Pfaffenhofen,no-data,BY
Thun,no-data,BY
Timmendorfer Strand,Timmendorfer+Strand,SH
Timmendorferstrand,Timmendorfer+Strand,SH
Tinglev st,no-data,BY
Traunstein,Traunstein,BY
Trento,no-data,BY
Treuchtlingen,Treuchtlingen,BY
Treysa,Schwalmstadt,HE
Triberg,Triberg,BW
Tuttlingen,Tuttlingen,BW
Tutzing,Tutzing,BY
Tübingen Hbf,Tübingen,BW
Uelzen,Uelzen+%28L%FCneburger+Heide%29,BY
Uelzen,Uelzen+(Lüneburger+Heide),BY
Ulm Hbf,Ulm,BY
Unna,Unna,NW
Usti nad Labem hl.n.,no-data,BY
Utrecht Centraal,no-data,BY
Vach,Vach,BY
Vaihingen(Enz),Vaihingen+an+der+Enz,BW
Vamdrup st,no-data,BY
Vechelde,Vechelde,NI
Vejle st,no-data,BY
Velden am Wörther See,no-data,BY
Velgast,Velgast,MV
Venezia Mestre,no-data,BY
Venezia Santa Lucia,no-data,BY
Verden(Aller),Verden+(Aller),NI
Verona Porta Nuova,no-data,BY
Vicenza,no-data,BY
Viersen,Viersen,NW
Villach Hbf,no-data,BY
Villingen(Schwarzw),Villingen-Schwenningen,BW
Visp,no-data,BY
Vojens st,no-data,BY
Vordingborg st,no-data,BY
Wabern(Bz Kassel),Wabern+(Hessen),HE
Wanne-Eickel Hbf,Herne,NW
Warburg(Westf),Warburg+(Westfalen),NW
Waren(Müritz),Waren+(Müritz),MV
Warnemünde,Rostock,MV
Weil am Rhein,Weil+am+Rhein,BW
Weilheim(Oberbay),Weilheim+in+Oberbayern,BY
