eva,ds100,name,lat,lon,city_search_string,city,zip,filename
8001168,HBHL,Bremerhaven-Lehe,53.566324,8.600657,Bremerhaven,Bremerhaven,27580.0,
8001170,HBWU,Bremerhaven-Wulsdorf,53.508596,8.611934,Bremerhaven,Bremerhaven,27572.0,
8007800,ABV,Bremervörde,53.48295400000001,9.140251,no-data,no-data,,
8071651,KBK,Brenk,50.432442,7.168888000000001,no-data,no-data,,
8007841,AAE,Brest-Aspe,53.460587,9.382342,no-data,no-data,,
8011267,UBZ,Breternitz,50.616310999999996,11.405863,Kaulsdorf OT Breteritz,Kaulsdorf OT Breteritz,7338.0,
8010061,UBR,Bretleben,51.340742999999996,11.240839,Bretleben,Bretleben,6556.0,
8000053,RBT,Bretten,49.0369,8.693448,Bretten,Bretten,75015.0,
8070093,RBTK,Bretten Kupferhälde,49.036986999999996,8.723678999999999,no-data,no-data,,
8001138,RBTN,Bretten Rechberg,49.03259600000001,8.701614,Bretten,Bretten,75015.0,
8001144,RBTS,Bretten Schulzentrum,49.031838,8.718196,no-data,no-data,,
8001152,RBTM,Bretten Stadtmitte,49.033993,8.702809,no-data,no-data,,
8079060,RBTW,Bretten Wannenweg,49.030466,8.709122,no-data,no-data,,
8001131,RBTI,Bretten-Ruit,49.009462,8.722058, Bretten, Bretten,75015.0,
8001176,HBRT,Brettorf,52.96712700000001,8.44697,Dötlingen,Dötlingen,27801.0,
8001177,SBRH,Bretzenheim(Nahe),49.874587,7.898692,Bretzenheim,Bretzenheim ,55559.0,
8001178,TBZ,Bretzfeld,49.172740999999995,9.440302,Bretzfeld,Bretzfeld,74626.0,
8001180,KBRY,Breyell,51.294615,6.241174,Nettetal,Nettetal,41334.0,
8013472,BBRI,Brieselang,52.582549,13.001394,Brieselang,Brieselang,14656.0,
8011269,BBSN,Briesen(Mark),52.34653,14.280635,Briesen (Mark),Briesen (Mark),15518.0,
8003339,RMBK,Brigachtal Kirchdorf,48.014343,8.467807,Brigachtal,Brigachtal,78086.0,
8003336,RKLN,Brigachtal Klengen,48.007366,8.465779,Brigachtal,Brigachtal,78086.0,
8001182,EBRS,Brilon Stadt,51.39906,8.575287,Brilon,Brilon,59929.0,
8000054,EBRW,Brilon Wald,51.349159,8.576073,Brilon,Brilon,59929.0,
8010064,WBR,Britz,52.873268,13.821106,Britz,Britz,16230.0,
8017004,LBRO,Brocken,51.79955800000001,10.618559,no-data,no-data,,
8001185,HBRO,Brockhöfe,53.00211700000001,10.258499,Wriedel,Wriedel,29565.0,
8011270,WBTF,Broderstorf,54.07891600000001,12.262763,Broderstorf,Broderstorf,18184.0,
8001186,KBRO,Brohl,50.481429,7.332639,Brohl,Brohl,56656.0,
8001190,ABRS,Brokstedt,53.990086,9.823806,Brokstedt,Brokstedt,24616.0,
8001196,FBB,Bruchenbrücken,50.301965,8.788402,Friedberg (Hess.),Friedberg (Hess.),61169.0,
8001198,RBRH,Bruchhausen(b Ettlingen),48.923992,8.373975, Ettlingen, Ettlingen,76275.0,
8001199,FBK,Bruchköbel,50.186189,8.919293,Bruchköbel,Bruchköbel,63486.0,
8001200,SBUM,Bruchmühlbach-Miesau,49.385343,7.443979,Bruchmühlbach-Miesau,Bruchmühlbach-Miesau,66892.0,
8001201,HBUE,Bruchmühlen,52.204598,8.448636,Melle,Melle,49324.0,
8000055,RBR,Bruchsal,49.124621999999995,8.589649,Bruchsal,Bruchsal,76646.0,Bruchsal
8001214,RBMT,Bruchsal Am Mantel,49.141181,8.56327,Bruchsal,Bruchsal,76646.0,Bruchsal
8001197,RBRZ,Bruchsal Bildungszentrum,49.110346,8.574507,no-data,no-data,,
8070009,RBRF,Bruchsal Schlachthof,49.118928000000004,8.609716,no-data,no-data,,
8085001,RBRD,Bruchsal Schloßgarten,49.131438,8.59406,no-data,no-data,,
8001212,RBRP,Bruchsal Sportzentrum,49.135443,8.589941,Bruchsal,Bruchsal,76646.0,Bruchsal
8085002,RBRC,Bruchsal Stegwiesen,49.136435,8.598199000000001,no-data,no-data,,
8070008,RBRE,Bruchsal Tunnelstraße,49.119549,8.594378,no-data,no-data,,
8079080,SBRW,Bruchweiler,49.114703999999996,7.8019570000000025,no-data,no-data,,
8001203,MBR,Bruckberg,48.515978999999994,11.997782,Bruckberg,Bruckberg,84079.0,
